	ERR4702530	ERR4702531	ERR4702532	ERR4702533	ERR4702538	ERR4702539	ERR4702540	ERR4702541
ERR4702530	0	0.382846959233682	0.521786589440855	0.485609267097349	0.484317219870795	0.520516818890622	0.494118957451548	0.488215638226777
ERR4702531	0.382846959233682	0	0.494720427712185	0.519514368456226	0.48552016039207	0.530964580084651	0.498151035865449	0.456827801292047
ERR4702532	0.521786589440855	0.494720427712185	0	0.592938293606594	0.548318110937848	0.590977946090443	0.566451325462241	0.56045889953219
ERR4702533	0.485609267097349	0.519514368456226	0.592938293606594	0	0.563622187569615	0.58961906883493	0.573735798618846	0.570527957228781
ERR4702538	0.484317219870795	0.48552016039207	0.548318110937848	0.563622187569615	0	0.528826019157942	0.529984406326576	0.506883492982847
ERR4702539	0.520516818890622	0.530964580084651	0.590977946090443	0.58961906883493	0.528826019157942	0	0.560102472711071	0.551414568946313
ERR4702540	0.494118957451548	0.498151035865449	0.566451325462241	0.573735798618846	0.529984406326576	0.560102472711071	0	0.534306081532635
ERR4702541	0.488215638226777	0.456827801292047	0.56045889953219	0.570527957228781	0.506883492982847	0.551414568946313	0.534306081532635	0
